compartment,diameter_um,viscosity_cp
Large Arteriole,105.0,2.555823210793134
Small Arteriole,47.2,2.281180897666081
Capillary,6.0,10.011560536764794
Small Venule,68.5,2.3580432134833913
Large Venule,154.9,2.7458895503067557
